Nuovo Codice Prestazione Catalogo,Nuova Descrizione Prestazione,Accesso,Numero Prestazioni Erogate,Descrizione Completa Prestazione,Frequenza Erogazione
6588,Acidi Nucleici Batteri Eo Virus In Materiali Biologici Mediante Ibridazione  Compresa Estrazione Di Dna O Rna E Pcr Ed Eventuale Retrotrascrizione Accorpa E Sostituisce 90834 91115 91121 911734 90835 91122 9119234 912223,01Prescrizione Su Ricettario Ssn,2,6588  Acidi Nucleici Batteri Eo Virus In Materiali Biologici Mediante Ibridazione  Compresa Estrazione Di Dna O Rna E Pcr Ed Eventuale Retrotrascrizione Accorpa E Sostituisce 90834 91115 91121 911734 90835 91122 9119234 912223  01Prescrizione Su Ricettario Ssn,Bassa
6589,Adenovirus Adv Dnapcr Qualiquantitativa Sangue,01Prescrizione Su Ricettario Ssn,48,6589  Adenovirus Adv Dnapcr Qualiquantitativa Sangue  01Prescrizione Su Ricettario Ssn,Media
6590,,01Prescrizione Su Ricettario Ssn,1,6590    01Prescrizione Su Ricettario Ssn,Bassa
6595,Chikungunya Chikv Virus Rnapcr Qualiquantitativa Sangue,01Prescrizione Su Ricettario Ssn,5,6595  Chikungunya Chikv Virus Rnapcr Qualiquantitativa Sangue  01Prescrizione Su Ricettario Ssn,Bassa
6601,,01Prescrizione Su Ricettario Ssn,5,6601    01Prescrizione Su Ricettario Ssn,Bassa
6601,Clostridium Difficile Dnapcr Qualiquantitativa Per Ricerca Tossine Feci,01Prescrizione Su Ricettario Ssn,101,6601  Clostridium Difficile Dnapcr Qualiquantitativa Per Ricerca Tossine Feci  01Prescrizione Su Ricettario Ssn,Alta
6610,Epatite A Virus Hav Rnapcr Qualiquantitativa Sangue,01Prescrizione Su Ricettario Ssn,6,6610  Epatite A Virus Hav Rnapcr Qualiquantitativa Sangue  01Prescrizione Su Ricettario Ssn,Bassa
6611,Epatite E Virus Hev Rnapcr Qualiquantitativa Sangue,01Prescrizione Su Ricettario Ssn,5,6611  Epatite E Virus Hev Rnapcr Qualiquantitativa Sangue  01Prescrizione Su Ricettario Ssn,Bassa
6614,Hsv Tipo 1 Dnapcr Sieroplasma,01Prescrizione Su Ricettario Ssn,41,6614  Hsv Tipo 1 Dnapcr Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6617,Hsv Tipo 2 Dnapcr Sieroplasma,01Prescrizione Su Ricettario Ssn,34,6617  Hsv Tipo 2 Dnapcr Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6627,,01Prescrizione Su Ricettario Ssn,13,6627    01Prescrizione Su Ricettario Ssn,Media
6627,Acidi Nucleici Batteri Eo Virus In Materiali Biologici Mediante Ibridazione  Compresa Estrazione Di Dna O Rna E Pcr Ed Eventuale Retrotrascrizione Accorpa E Sostituisce 90834 91115 91121 911734 90835 91122 9119234 912223,01Prescrizione Su Ricettario Ssn,29,6627  Acidi Nucleici Batteri Eo Virus In Materiali Biologici Mediante Ibridazione  Compresa Estrazione Di Dna O Rna E Pcr Ed Eventuale Retrotrascrizione Accorpa E Sostituisce 90834 91115 91121 911734 90835 91122 9119234 912223  01Prescrizione Su Ricettario Ssn,Media
6638,Morbillo Rnapcr Qualiquantitativa Sangue,01Prescrizione Su Ricettario Ssn,1,6638  Morbillo Rnapcr Qualiquantitativa Sangue  01Prescrizione Su Ricettario Ssn,Bassa
6644,Norovirus Rnapcr Qualiquantitativa Feci,01Prescrizione Su Ricettario Ssn,3,6644  Norovirus Rnapcr Qualiquantitativa Feci  01Prescrizione Su Ricettario Ssn,Bassa
6672,West Nile Virus Wnv Rnapcr Qualiquantitativa Sangue,01Prescrizione Su Ricettario Ssn,2,6672  West Nile Virus Wnv Rnapcr Qualiquantitativa Sangue  01Prescrizione Su Ricettario Ssn,Bassa
6675,Borrelia Burgdorferi Anticorpi Igg Immunoblotting Sieroplasma,01Prescrizione Su Ricettario Ssn,14,6675  Borrelia Burgdorferi Anticorpi Igg Immunoblotting Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6676,Borrelia Burgdorferi Anticorpi Igm Immunoblotting Sieroplasma,01Prescrizione Su Ricettario Ssn,13,6676  Borrelia Burgdorferi Anticorpi Igm Immunoblotting Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6677,Cisticercosi Anticorpi Igg Immunoblotting Sieroplasma,01Prescrizione Su Ricettario Ssn,10,6677  Cisticercosi Anticorpi Igg Immunoblotting Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6679,Toxocara Anticorpi Igg Immunoblotting Sieroplasma,01Prescrizione Su Ricettario Ssn,2,6679  Toxocara Anticorpi Igg Immunoblotting Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6680,Toxoplasma Anticorpi Immunoblotting Sieroplasma,01Prescrizione Su Ricettario Ssn,2,6680  Toxoplasma Anticorpi Immunoblotting Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6681,Treponema Pallidum Lue Anticorpi Igg Immunoblotting Sieroplasma,01Prescrizione Su Ricettario Ssn,12,6681  Treponema Pallidum Lue Anticorpi Igg Immunoblotting Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6681,Virus Anticorpi  Immunoblotting Nas Saggio Di Conferma Non Associabile A 9115F 91195 E 9123F,01Prescrizione Su Ricettario Ssn,2,6681  Virus Anticorpi  Immunoblotting Nas Saggio Di Conferma Non Associabile A 9115F 91195 E 9123F  01Prescrizione Su Ricettario Ssn,Bassa
6682,Treponema Pallidum Lue Anticorpi Igm Immunoblotting Sieroplasma,01Prescrizione Su Ricettario Ssn,10,6682  Treponema Pallidum Lue Anticorpi Igm Immunoblotting Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6682,Virus Anticorpi  Immunoblotting Nas Saggio Di Conferma Non Associabile A 9115F 91195 E 9123F,01Prescrizione Su Ricettario Ssn,2,6682  Virus Anticorpi  Immunoblotting Nas Saggio Di Conferma Non Associabile A 9115F 91195 E 9123F  01Prescrizione Su Ricettario Ssn,Bassa
6683,Adenovirus Adv Feci Ricerca Antigeni,01Prescrizione Su Ricettario Ssn,10,6683  Adenovirus Adv Feci Ricerca Antigeni  01Prescrizione Su Ricettario Ssn,Bassa
6684,Astrovirus Feci Antigeni,01Prescrizione Su Ricettario Ssn,2,6684  Astrovirus Feci Antigeni  01Prescrizione Su Ricettario Ssn,Bassa
6686,Rotavirus Feci Ricerca Antigeni,01Prescrizione Su Ricettario Ssn,31,6686  Rotavirus Feci Ricerca Antigeni  01Prescrizione Su Ricettario Ssn,Media
6686,Rotavirus Ricerca Antigeni Feci,01Prescrizione Su Ricettario Ssn,4,6686  Rotavirus Ricerca Antigeni Feci  01Prescrizione Su Ricettario Ssn,Bassa
6687,Adenovirus Adv Anticorpi Iga Sieroplasma,01Prescrizione Su Ricettario Ssn,6,6687  Adenovirus Adv Anticorpi Iga Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6688,Adenovirus Adv Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,47,6688  Adenovirus Adv Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6689,Adenovirus Adv Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,44,6689  Adenovirus Adv Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6692,Chikungunya Chikv Virus Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,14,6692  Chikungunya Chikv Virus Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6701,Cytomegalovirus Cmv Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,2653,6701  Cytomegalovirus Cmv Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6701,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,124,6701  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Alta
6702,Cytomegalovirus Cmv Anticorpi Igg Avidity Sieroplasma,01Prescrizione Su Ricettario Ssn,24,6702  Cytomegalovirus Cmv Anticorpi Igg Avidity Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6702,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,135,6702  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Alta
6703,Cytomegalovirus Cmv Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,2619,6703  Cytomegalovirus Cmv Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6703,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,127,6703  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Alta
6704,Dengue Virus Denv Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,33,6704  Dengue Virus Denv Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6705,Dengue Virus Denv Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,34,6705  Dengue Virus Denv Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6707,Epstein Barr Virus Ebv Ea Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,471,6707  Epstein Barr Virus Ebv Ea Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6707,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,11,6707  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Bassa
6709,Epstein Barr Virus Ebv Ebna Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,706,6709  Epstein Barr Virus Ebv Ebna Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6709,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,28,6709  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Media
6710,Ebv Vca Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,1083,6710  Ebv Vca Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6710,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,40,6710  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Media
6711,Ebv Vca Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,1111,6711  Ebv Vca Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6711,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,45,6711  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Media
6713,Echovirus Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,5,6713  Echovirus Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6714,Echovirus Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,7,6714  Echovirus Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6715,Hhv Tipo 6 Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,51,6715  Hhv Tipo 6 Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6717,Morbillo Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario,01Prescrizione Su Ricettario Ssn,465,6717  Morbillo Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario  01Prescrizione Su Ricettario Ssn,Alta
6718,Morbillo Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,185,6718  Morbillo Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6718,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,6,6718  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Bassa
6719,Parotite Virus Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario,01Prescrizione Su Ricettario Ssn,225,6719  Parotite Virus Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario  01Prescrizione Su Ricettario Ssn,Alta
6720,Parotite Virus Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,39,6720  Parotite Virus Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6721,Parvovirus B19 Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,187,6721  Parvovirus B19 Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6721,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,5,6721  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Bassa
6722,Parvovirus B19 Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,176,6722  Parvovirus B19 Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6722,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,6,6722  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Bassa
6723,Rosolia Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario,01Prescrizione Su Ricettario Ssn,742,6723  Rosolia Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario  01Prescrizione Su Ricettario Ssn,Alta
6724,Rosolia Anticorpi Igg Avidity Sieroplasma,01Prescrizione Su Ricettario Ssn,26,6724  Rosolia Anticorpi Igg Avidity Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6724,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,2,6724  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Bassa
6725,Rosolia Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,453,6725  Rosolia Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6725,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,23,6725  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Media
6726,Toscana Virus Tosv Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,7,6726  Toscana Virus Tosv Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6727,Toscana Virus Tosv Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,8,6727  Toscana Virus Tosv Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6728,Varicella Zoster Vzv Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario,01Prescrizione Su Ricettario Ssn,983,6728  Varicella Zoster Vzv Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario  01Prescrizione Su Ricettario Ssn,Alta
6729,Varicella Zoster Vzv Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,587,6729  Varicella Zoster Vzv Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6729,Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci,01Prescrizione Su Ricettario Ssn,40,6729  Virus Astrovirus  Ricerca Antigene Diretta Nelle Feci  01Prescrizione Su Ricettario Ssn,Media
6730,Virus Respiratorio Sinciziale Rsv Anticorpi Iga Sieroplasma,01Prescrizione Su Ricettario Ssn,2,6730  Virus Respiratorio Sinciziale Rsv Anticorpi Iga Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6731,Virus Respiratorio Sinciziale Rsv Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,12,6731  Virus Respiratorio Sinciziale Rsv Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6732,Virus Respiratorio Sinciziale Rsv Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,11,6732  Virus Respiratorio Sinciziale Rsv Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6738,Rickettsia Anticorpi Totali Reazione Di Weil Felix Sieroplasma,01Prescrizione Su Ricettario Ssn,25,6738  Rickettsia Anticorpi Totali Reazione Di Weil Felix Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6745,Aspergillo Antigene Sieroplasma,01Prescrizione Su Ricettario Ssn,230,6745  Aspergillo Antigene Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6750,,01Prescrizione Su Ricettario Ssn,1,6750    01Prescrizione Su Ricettario Ssn,Bassa
6750,Epatite B Virus Hbv Antigene Hbe Hbeag Sieroplasma,01Prescrizione Su Ricettario Ssn,1238,6750  Epatite B Virus Hbv Antigene Hbe Hbeag Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6751,Virus Epatite B Hbv Anticorpi Hbsag,01Prescrizione Su Ricettario Ssn,77,6751  Virus Epatite B Hbv Anticorpi Hbsag  01Prescrizione Su Ricettario Ssn,Media
6751,Virus Epatite B Hbv Anticorpi Hbsag  Non Associabile A 91186 Virus Hbv Hbv Reflex,01Prescrizione Su Ricettario Ssn,13,6751  Virus Epatite B Hbv Anticorpi Hbsag  Non Associabile A 91186 Virus Hbv Hbv Reflex  01Prescrizione Su Ricettario Ssn,Media
6755,Legionella Pneumophila Ricerca Antigeni Urina,01Prescrizione Su Ricettario Ssn,8,6755  Legionella Pneumophila Ricerca Antigeni Urina  01Prescrizione Su Ricettario Ssn,Bassa
6755,Legionella Pneumophila Urine Ricerca Antigeni,01Prescrizione Su Ricettario Ssn,49,6755  Legionella Pneumophila Urine Ricerca Antigeni  01Prescrizione Su Ricettario Ssn,Media
6760,Streptococcus Pneumoniae Ricerca Antigeni Urina,01Prescrizione Su Ricettario Ssn,6,6760  Streptococcus Pneumoniae Ricerca Antigeni Urina  01Prescrizione Su Ricettario Ssn,Bassa
6760,Streptococcus Pneumoniae Urine Ricerca Antigeni,01Prescrizione Su Ricettario Ssn,43,6760  Streptococcus Pneumoniae Urine Ricerca Antigeni  01Prescrizione Su Ricettario Ssn,Media
6762,Clostridium Difficile Feci Ricerca Tossina,01Prescrizione Su Ricettario Ssn,141,6762  Clostridium Difficile Feci Ricerca Tossina  01Prescrizione Su Ricettario Ssn,Alta
6762,Clostridium Difficile Tossinogenico Feci  Reflex,01Prescrizione Su Ricettario Ssn,20,6762  Clostridium Difficile Tossinogenico Feci  Reflex  01Prescrizione Su Ricettario Ssn,Media
6763,Escherichia Coli Enteroemorragico Ehec Feci Ricerca Verotossina,01Prescrizione Su Ricettario Ssn,4,6763  Escherichia Coli Enteroemorragico Ehec Feci Ricerca Verotossina  01Prescrizione Su Ricettario Ssn,Bassa
6769,Coxsackie B1 Virus Anticorpi Totali Sieroplasma,01Prescrizione Su Ricettario Ssn,4,6769  Coxsackie B1 Virus Anticorpi Totali Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6770,Coxsackie B2 Virus Anticorpi Totali Sieroplasma,01Prescrizione Su Ricettario Ssn,4,6770  Coxsackie B2 Virus Anticorpi Totali Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6771,Coxsackie B3 Virus Anticorpi Totali Sieroplasma,01Prescrizione Su Ricettario Ssn,4,6771  Coxsackie B3 Virus Anticorpi Totali Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6772,Coxsackie B4 Virus Anticorpi Totali Sieroplasma,01Prescrizione Su Ricettario Ssn,4,6772  Coxsackie B4 Virus Anticorpi Totali Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6773,Coxsackie B5 Virus Anticorpi Totali Sieroplasma,01Prescrizione Su Ricettario Ssn,4,6773  Coxsackie B5 Virus Anticorpi Totali Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6774,Coxsackie B6 Virus Anticorpi Totali Sieroplasma,01Prescrizione Su Ricettario Ssn,4,6774  Coxsackie B6 Virus Anticorpi Totali Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6783,Epatite E Hev Anticorpi Igg Hevab Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,46,6783  Epatite E Hev Anticorpi Igg Hevab Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6784,Tossina Tetanica Anticorpi Sieroplasma,01Prescrizione Su Ricettario Ssn,14,6784  Tossina Tetanica Anticorpi Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6785,,01Prescrizione Su Ricettario Ssn,10,6785    01Prescrizione Su Ricettario Ssn,Bassa
6785,Tetano Tossina Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,242,6785  Tetano Tossina Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6790,,01Prescrizione Su Ricettario Ssn,3,6790    01Prescrizione Su Ricettario Ssn,Bassa
6790,Bartonella Henselae Anticorpi Igg If Sieroplasma,01Prescrizione Su Ricettario Ssn,104,6790  Bartonella Henselae Anticorpi Igg If Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6791,,01Prescrizione Su Ricettario Ssn,3,6791    01Prescrizione Su Ricettario Ssn,Bassa
6791,Bartonella Henselae Anticorpi Igm If Sieroplasma,01Prescrizione Su Ricettario Ssn,102,6791  Bartonella Henselae Anticorpi Igm If Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6801,,01Prescrizione Su Ricettario Ssn,1,6801    01Prescrizione Su Ricettario Ssn,Bassa
6801,Coxiella Burnetii Anticorpi Igg If Sieroplasma,01Prescrizione Su Ricettario Ssn,26,6801  Coxiella Burnetii Anticorpi Igg If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6802,,01Prescrizione Su Ricettario Ssn,1,6802    01Prescrizione Su Ricettario Ssn,Bassa
6802,Coxiella Burnetii Anticorpi Igm If Sieroplasma,01Prescrizione Su Ricettario Ssn,34,6802  Coxiella Burnetii Anticorpi Igm If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6808,Entamoeba Histolytica Anticorpi Totali If Sieroplasma,01Prescrizione Su Ricettario Ssn,13,6808  Entamoeba Histolytica Anticorpi Totali If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6815,Leishmania Anticorpi Totali If Sieroplasma,01Prescrizione Su Ricettario Ssn,36,6815  Leishmania Anticorpi Totali If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6818,Leptospira Anticorpi Igg If Sieroplasma,01Prescrizione Su Ricettario Ssn,5,6818  Leptospira Anticorpi Igg If Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6819,Leptospira Anticorpi Igm If Sieroplasma,01Prescrizione Su Ricettario Ssn,5,6819  Leptospira Anticorpi Igm If Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6826,Plasmodium Falciparum Malaria Anticorpi Sieroplasma,01Prescrizione Su Ricettario Ssn,8,6826  Plasmodium Falciparum Malaria Anticorpi Sieroplasma  01Prescrizione Su Ricettario Ssn,Bassa
6829,Rickettsiae Anticorpi Igg If Sieroplasma,01Prescrizione Su Ricettario Ssn,39,6829  Rickettsiae Anticorpi Igg If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6830,Rickettsiae Anticorpi Igm If Sieroplasma,01Prescrizione Su Ricettario Ssn,41,6830  Rickettsiae Anticorpi Igm If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6836,West Nile Virus Wnv Anticorpi Igg If Sieroplasma,01Prescrizione Su Ricettario Ssn,23,6836  West Nile Virus Wnv Anticorpi Igg If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6837,West Nile Virus Wnv Anticorpi Igm If Sieroplasma,01Prescrizione Su Ricettario Ssn,21,6837  West Nile Virus Wnv Anticorpi Igm If Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6838,,01Prescrizione Su Ricettario Ssn,14,6838    01Prescrizione Su Ricettario Ssn,Media
6838,Cytomegalovirus Cmv Antigeni Precoci If Sieroplasma,01Prescrizione Su Ricettario Ssn,113,6838  Cytomegalovirus Cmv Antigeni Precoci If Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6848,,01Prescrizione Su Ricettario Ssn,2,6848    01Prescrizione Su Ricettario Ssn,Bassa
6848,Echinococco Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,34,6848  Echinococco Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Media
6852,Epatite A Hav Anticorpi Igg Sieroplasma,01Prescrizione Su Ricettario Ssn,714,6852  Epatite A Hav Anticorpi Igg Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6852,Epatite A Hav Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario,01Prescrizione Su Ricettario Ssn,64,6852  Epatite A Hav Anticorpi Igg Sieroplasma Per Controllo Stato Immunitario  01Prescrizione Su Ricettario Ssn,Media
6853,,01Prescrizione Su Ricettario Ssn,4,6853    01Prescrizione Su Ricettario Ssn,Bassa
6853,Epatite A Hav Anticorpi Totali Sieroplasma,01Prescrizione Su Ricettario Ssn,157,6853  Epatite A Hav Anticorpi Totali Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6854,,01Prescrizione Su Ricettario Ssn,24,6854    01Prescrizione Su Ricettario Ssn,Media
6854,Epatite A Hav Anticorpi Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,808,6854  Epatite A Hav Anticorpi Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6855,,01Prescrizione Su Ricettario Ssn,1,6855    01Prescrizione Su Ricettario Ssn,Bassa
6855,Epatite B Hbv Dnapcr Qualiquantitativa Sangue,01Prescrizione Su Ricettario Ssn,334,6855  Epatite B Hbv Dnapcr Qualiquantitativa Sangue  01Prescrizione Su Ricettario Ssn,Alta
6855,Epatite B Hbv Dnapcr Qualiquantitativa Sieroplasmasangue,01Prescrizione Su Ricettario Ssn,2186,6855  Epatite B Hbv Dnapcr Qualiquantitativa Sieroplasmasangue  01Prescrizione Su Ricettario Ssn,Alta
6856,,01Prescrizione Su Ricettario Ssn,2,6856    01Prescrizione Su Ricettario Ssn,Bassa
6856,Epatite B Hbv Dnasequenziamento Per Genotipizzazione Sieroplasmasangue,01Prescrizione Su Ricettario Ssn,20,6856  Epatite B Hbv Dnasequenziamento Per Genotipizzazione Sieroplasmasangue  01Prescrizione Su Ricettario Ssn,Media
6858,,01Prescrizione Su Ricettario Ssn,2,6858    01Prescrizione Su Ricettario Ssn,Bassa
6858,Epatite B Hbv Anticorpi Anti Hbc Totali Hbcab Sieroplasma,01Prescrizione Su Ricettario Ssn,4856,6858  Epatite B Hbv Anticorpi Anti Hbc Totali Hbcab Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6859,Epatite B Hbv Anticorpi Anti Hbc Igm Hbcab Igm Sieroplasma,01Prescrizione Su Ricettario Ssn,1269,6859  Epatite B Hbv Anticorpi Anti Hbc Igm Hbcab Igm Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
6860,Epatite B Virus Hbv Anticorpi Anti Hbe Hbeab Sieroplasma,01Prescrizione Su Ricettario Ssn,1494,6860  Epatite B Virus Hbv Anticorpi Anti Hbe Hbeab Sieroplasma  01Prescrizione Su Ricettario Ssn,Alta
